first_name_clean,gender,count
adonis,1,129
adonise,2,1
adonys,1,1
adora,2,1
adoracion,2,1
adoration,2,1
adou,1,1
adoum,1,1
adra,2,1
adria,2,7
adriaan,1,1
adrian,1,740
adriana,2,364
adriane,2,14
adriann,1,7
adrianna,2,10
adrianne,2,2
adriano,1,256
adriel,1,94
adrielle,2,2
adrien,1,7434
adrien,2,2
adrienne,2,3170
adrina,2,1
adriàn,1,4
adrya,2,1
adryan,1,6
adryana,2,1
adryann,1,1
adryanna,2,1
adryano,1,1
adryel,1,1
adryen,1,2
advik,1,4
advika,2,2
ady,1,1
ady,2,1
adyan,1,1
adyl,1,1
adyson,2,1
adysson,2,1
adzo,1,1
adâm,1,2
adèl,1,1
adèla,2,1
adèle,1,5
adèle,2,4046
adèle-rose,2,1
adèm,1,1
adéla,2,1
adélaide,2,1
adélaïde,2,169
adélaïs,2,1
adéle,2,1
adélia,2,15
adélie,2,112
adélina,2,1
adéline,2,1
adélio,1,1
adélya,2,1
adénora,2,1
aedan,1,94
aedann,1,1
aeden,1,5
aedhan,1,1
aegon,1,1
ael,1,24
ael,2,3
aela,2,42
aelaig,2,1
aelia,2,30
aelig,1,5
aelig,2,6
aeline,2,1
aelis,2,5
aelita,2,1
aella,2,1
aelle,2,2
aely,2,1
aelya,2,1
aelyn,2,1
aelyne,2,1
aelynn,2,1
aelys,2,21
aena,2,1
aenaelle,2,1
aenor,2,8
aenora,2,1
aerin,2,1
aeris,2,2
aerith,2,2
aeron,1,1
aeryn,2,2
aeryne,2,1
aerys,2,1
aesa,2,1
afaf,2,8
afafe,2,1
afdal,1,1
afeda,2,1
afef,2,7
afeni,2,1
affaf,2,1
affan,1,2
affef,2,1
affif,1,1
affou,2,2
affoue,2,1
affoussiata,2,2
afi,2,1
afia,2,2
afid,1,1
afida,2,2
afif,1,19
afifa,2,5
afiya,2,1
afnan,1,1
afnan,2,3
afnane,2,18
afnen,2,1
afnene,2,1
afnène,2,1
afonso,1,11
afra,2,1
afrah,2,1
afrahim,1,7
africa,2,1
afrim,1,1
afsa,2,1
afsana,2,2
aftab,1,1
afton,2,1
aftone,2,1
afzal,1,1
agapito,1,1
agar,2,1
agash,1,3
agata,2,7
agate,2,4
agatha,2,33
agathe,1,28
agathe,2,3933
agathon,1,3
agenor,1,5
aghilas,1,2
aghiles,1,7
agim,1,1
agit,1,1
aglae,2,118
aglaee,2,7
aglaia,2,1
aglaé,2,30
aglaée,2,1
aglaë,2,1
agnan,1,44
agnan,2,10
agnel,1,5
agnela,2,1
agnella,2,1
agnes,2,10
agnesa,2,1
agnese,2,9
agniela,2,5
agnies,2,1
agnieszka,2,1
agnès,1,46
agnès,2,6414
agnès-marie,2,1
agop,1,2
agostina,2,1
agostinho,1,14
agostino,1,3
agrippine,2,1
agron,1,1
agueda,2,1
aguibou,1,1
agustin,1,9
agustina,2,2
agustinho,1,2
agustino,1,1
agénor,1,1
ah,1,4
ah,2,2
ahad,1,1
ahamad,1,1
ahamada,1,1
ahamadi,1,6
ahamadou,1,1
ahamed,1,4
ahana,2,3
aharon,1,26
aharone,1,1
ahava,2,3
ahcen,1,1
ahcene,1,35
ahcène,1,1
ahed,2,2
ahil,1,2
ahkim,1,2
ahlam,2,45
ahlame,2,5
ahlan,1,1
ahlem,2,116
ahleme,2,4
ahlima,2,1
ahllam,2,1
ahmad,1,125
ahmada,1,1
ahmadou,1,11
ahmadou-bamba,1,1
ahmar,1,1
ahmat,1,1
ahmed,1,2031
ahmed-ali,1,1
ahmed-amin,1,1
ahmed-amine,1,3
ahmed-tidiane,1,1
ahmed-yacine,1,2
ahmed-yassine,1,1
ahmel,2,1
ahmet,1,297
ahmet-can,1,1
ahmetcan,1,1
ahmid,1,2
ahna,2,1
ahnaf,1,1
ahou,2,1
ahoua,2,1
ahouva,2,1
ahron,1,1
ahsan,1,1
ahsen,2,5
ahsene,1,1
ahyan,1,1
ahyna,2,1
ai,2,3
aia,2,1
aian,1,1
aiana,2,1
aicha,2,1251
aichat,2,2
aichata,2,5
aichatou,2,4
aiche,2,4
aichetou,2,1
aichouche,2,1
aid,1,1
aida,2,220
aidan,1,187
aidann,1,2
aidee,2,13
aidem,1,1
aiden,1,140
aiden,2,1
aidi,2,1
aifa,2,1
aigline,2,1
aignan,1,2
aiham,1,1
aikel,1,1
aiko,1,1
aiko,2,2
aila,2,1
aileen,2,6
ailey,2,1
ailine,2,1
ailis,2,1
ailsa,2,1
ailvin,1,2
ailyn,2,1
ailyne,2,1
ailys,2,2
aima,2,4
aimable,1,109
aimable,2,1
aimad,1,2
aimade,1,1
aiman,1,16
aiman,2,1
aimane,1,15
aimane,2,1
aimar,1,1
aime,1,3581
aime,2,1
aimed,1,2
aimee,2,5
aimel,2,1
aimeline,2,1
aimelyne,2,1
aimen,1,75
aimen,2,1
aimene,1,1
aimeric,1,15
aimerick,1,2
aimerik,1,1
aimery,1,3
aimeryc,1,1
aimi,2,1
aimie,2,39
aimine,1,1
aimmee,2,5
aimran,1,1
aimrane,1,1
aimy,2,156
aimé,1,76
aimée,1,1
aimée,2,3019
aina,1,1
aina,2,31
ainara,2,23
aines,2,9
ainhoa,2,101
aini,2,1
ainis,1,1
ainoa,2,12
ainoha,2,1
ainsley,1,1
ainsley,2,1
aintzane,2,2
aioub,1,1
aira,2,1
airelle,2,1
aires,1,1
airon,1,1
airy,1,2
aisa,2,1
aisam,1,1
aisata,2,1
aisatou,2,1
aise,2,1
aisetou,2,1
aisha,2,72
aishwarya,2,1
aisling,2,1
aislinn,2,1
aisosa,2,1
aissa,1,272
aissa,2,16
aissam,1,8
aissame,1,1
aissar,1,1
aissata,2,240
aissatou,2,176
aisse,2,43
aisseta,2,9
aissetou,2,41
aissia,2,1
aissya,2,1
aissé,2,1
aita,2,1
aitana,2,1
aito,1,1
aitor,1,16
aivy,2,1
aiwen,1,1
aixandre,1,1
aiya,2,8
aiyana,2,8
aiyanna,2,1
aiyoub,1,1
aiza,2,6
aizah,2,1
aizen,1,1
ajad,1,1
ajan,1,5
ajana,2,1
ajanthan,1,1
ajar,2,1
ajay,1,9
ajda,2,1
ajdin,1,2
ajeesh,1,2
ajla,2,6
ajmal,1,1
ajna,2,1
ajwad,1,1
aka,1,2
akalya,2,1
akan,1,1
akane,2,1
akaran,1,3
akash,1,11
akasha,2,1
akasya,2,1
akay,1,1
akbar,1,1
akcel,1,1
akcil,1,1
akeem,1,1
akela,2,1
akemi,2,1
akheane,2,1
akhenaton,1,1
akhesa,2,1
akhil,1,1
akhim,1,1
akhmad,1,2
akhmed,1,1
aki,1,1
akif,1,8
akiko,2,1
akil,1,15
akila,2,31
akilah,2,1
akilan,1,1
akim,1,377
akima,2,29
akime,1,1
akin,1,2
akina,2,1
akio,1,1
akira,1,3
akira,2,2
akissi,2,1
akito,1,1
akiva,1,4
akli,1,52
akmal,1,7
akmar,1,3
ako,1,1
akram,1,252
akrame,1,3
akrem,1,1
aksa,2,1
aksel,1,263
aksel,2,1
aksha,2,2
akshan,1,2
akshana,2,2
akshara,2,11
akshay,1,3
akshaya,2,15
akshayan,1,4
akshith,1,1
aksil,1,90
aksim,1,1
aksyl,1,1
akym,1,1
al,1,24
al,2,1
al-amine,1,1
al-hassan,1,1
al-hassane,1,2
ala,1,1
ala,2,1
ala-eddine,1,1
alaa,1,1
alaa,2,90
alaa-eddine,1,1
alabama,2,1
aladdin,1,1
aladin,1,2
aladine,1,1
aladji,1,5
alae,1,1
alae,2,16
alaeddine,1,2
alaedine,1,1
alaia,2,28
alain,1,6043
alain,2,2
alain-claude,1,1
alain-françois,1,1
alain-jean,1,1
alain-michel,1,1
alain-paul,1,1
alain-philippe,1,1
alain-pierre,1,1
alaina,2,1
alaine,2,1
alais,2,42
alaitz,2,2
alam,1,1
alan,1,2157
alana,2,293
alanah,2,1
alandra,2,1
alane,1,16
alanis,2,5
alann,1,21
alanna,2,1
alannah,2,2
alanys,2,1
alanzo,1,2
alaoua,1,2
alaoui,1,1
alara,2,1
alaric,1,39
alarick,1,1
alarik,1,1
alasane,1,1
alassan,1,1
alassana,1,1
alassane,1,151
alastair,1,2
alaya,1,1
alaya,2,4
alayah,2,1
alayna,2,4
alays,2,1
alaz,1,1
alaâ,2,1
alaïa,2,25
alaïna,2,1
alaïs,2,15
alba,2,440
albain,1,1
alban,1,3510
alban,2,6
albana,2,1
albane,2,1420
albanie,2,121
albanne,2,1
albano,1,4
albans,1,1
albaro,1,1
albena,2,1
alberic,1,89
alberick,1,1
alberie,1,1
alberie,2,1
albert,1,6172
albert,2,5
alberta,2,40
alberte,2,1193
alberthe,2,1
alberti,1,1
albertin,1,1
albertina,2,4
albertine,2,2533
albertino,1,1
alberto,1,156
albertus,1,1
albi,1,1
albin,1,518
albina,2,7
albine,2,49
albino,1,5
albion,1,1
albrecht,1,2
albéric,1,5
alce,1,1
alcee,1,4
alcibiade,1,1
alcida,2,3
alcide,1,347
alcide,2,1
alcides,1,1
alcidie,2,19
alcime,1,40
alcina,2,1
alcinda,2,1
alcine,1,1
alcine,2,1
alcino,1,2
alcyone,2,1
alda,2,13
alde,1,4
aldebert,1,1
aldegonde,2,9
alden,1,1
alderic,1,4
alderick,1,2
aldin,1,2
aldina,2,2
aldine,2,1
aldino,1,1
aldiouma,2,1
aldja,2,1
aldjia,2,4
aldo,1,328
aldonce,1,1
aldric,1,44
aldrick,1,3
aldrik,1,1
aldrin,1,1
aldwin,1,1
aldéric,1,1
alea,2,3
aleandra,2,1
aleandro,1,1
aleaume,1,1
alec,1,150
alec,2,1
alecia,2,1
alecio,1,1
aleck,1,2
aleena,2,3
aleesha,2,1
aleeyah,2,2
aleeza,2,1
alegria,2,1
alehandro,1,1
aleina,2,1
aleister,1,1
aleix,1,1
alejandra,2,1
alejandro,1,32
alek,1,13
aleks,1,2
aleksa,1,3
aleksandar,1,67
aleksander,1,11
aleksandr,1,2
aleksandra,2,46
aleksandre,1,1
aleksei,1,1
aleksej,1,1
aleksey,1,1
alekseï,1,2
aleksi,1,1
aleksia,2,1
aleksy,1,1
alem,1,1
alem,2,1
alen,1,7
alena,2,14
alenka,2,1
alenzo,1,9
aleph,1,1
aleria,2,1
ales,1,11
alesandro,1,1
alesia,2,5
alesio,1,2
alesiu,1,4
alessa,2,3
alessandra,2,43
alessandro,1,457
alessi,1,1
alessia,2,387
alessio,1,712
alessya,2,4
alessyo,1,9
aleth,2,50
alette,2,1
alev,2,3
alex,1,3080
alex,2,17
alex-anne,2,1
alexa,2,146
alexan,1,1
alexana,2,1
alexandar,1,2
alexander,1,245
alexandr,1,1
alexandra,1,1
alexandra,2,3956
alexandre,1,8557
alexandre,2,8
alexandre-benoît,1,1
alexandria,2,1
alexandrie,2,2
alexandrina,2,2
alexandrine,2,1746
alexandro,1,23
alexandros,1,1
alexandru,1,54
alexandry,2,1
alexane,2,466
alexanne,2,5
alexe,2,4
alexei,1,3
alexendre,1,1
alexey,1,1
alexeï,1,2
alexi,1,166
alexi,2,1
alexia,1,1
alexia,2,3243
alexian,1,27
alexiana,2,1
alexiane,2,214
alexianne,2,1
alexias,2,1
alexide,2,1
alexie,1,1
alexie,2,116
alexin,1,20
alexina,2,101
alexine,2,111
alexio,1,9
alexios,1,1
alexis,1,6443
alexis,2,16
alexy,1,612
alexy,2,2
alexya,2,1
alexyan,1,1
alexyane,2,1
alexyne,2,1
alexys,1,8
aleya,2,3
aleyah,2,2
aleyna,2,378
aleyna-nur,2,1
alezia,2,1
alezio,1,5
aleïna,2,1
alfa,1,1
alfayed,1,1
alfeo,1,1
alfia,2,1
alfie,1,1
alfio,1,4
alfiya,2,2
alfons,1,2
alfonse,1,1
alfonsina,2,1
alfonso,1,31
alfousseny,1,1
alfousseyni,1,1
alfred,1,3885
alfred,2,3
alfreda,2,268
alfrede,1,1
alfrede,2,2
alfredine,2,92
alfredo,1,67
alfréda,2,4
algia,2,1
alhadji,1,1
alhan,1,2
alhana,2,1
alhassan,1,2
alhassana,1,2
alhassane,1,17
alhena,2,1
alhousseyni,1,1
alhya,2,1
alhéna,2,1
ali,1,2605
ali,2,1
ali-asaf,1,1
ali-can,1,1
ali-eren,1,1
ali-ihsan,1,1
ali-imran,1,1
ali-osman,1,1
ali-riza,1,1
alia,1,1
alia,2,474
aliaa,2,1
aliah,2,8
alian,1,1
aliana,2,6
aliane,1,1
alianna,2,1
alias,1,1
aliaume,1,2
alibert,1,3
alic,1,2
alica,2,1
alican,1,3
alice,1,2
alice,2,9132
alice-anne,2,1
alice-marie,2,1
alicea,2,1
alicia,2,3388
aliciane,2,1
alicio,1,1
alicja,2,4
alick,1,17
alicya,2,25
alida,2,179
alidor,1,7
alie,2,1
alienor,2,234
aliette,2,326
alif,1,1
alifa,2,1
aliha,2,1
alihan,1,3
alihya,2,1
aliihsan,1,1
alija,1,1
alik,1,1
alika,2,1
alikhan,1,1
aliki,2,1
alim,1,14
alima,2,58
alimami,1,1
alimamy,1,1
alimata,2,6
alimatou,2,4
alime,2,1
alimou,1,2
alin,1,29
alin,2,1
alina,2,256
alinda,2,1
aline,2,7914
aline-marie,2,1
aliocha,1,15
aliona,2,1
aliosha,1,1
aliosman,1,1
aliou,1,79
alioune,1,36
alioune-badara,1,1
alipio,1,1
aliriza,1,1
alis,2,1
alisa,2,15
alisan,1,1
alise,2,2
alisea,2,3
alisee,2,3
alisha,2,39
alishba,2,1
alisia,2,1
alison,1,1
alison,2,1499
alisone,2,5
alisonne,2,1
alissa,2,192
alissandre,2,1
alissar,2,1
alisse,2,1
alissia,2,55
alisson,2,476
alissone,2,1
alissonne,2,1
alissya,2,3
alistair,1,41
alister,1,2
alisya,2,1
aliséa,2,1
alisée,2,2
alita,2,1
alix,1,985
alix,2,2543
alix-anne,2,1
alix-marie,2,1
alixan,1,1
alixane,2,1
alixe,2,50
alixia,2,6
aliya,2,672
aliyaah,2,1
aliyah,2,573
aliyana,2,1
aliyar,1,2
aliye,2,1
aliyou,1,1
aliyyah,2,1
aliza,2,21
alize,2,137
alizea,2,31
alizee,2,36
alizia,2,1
alizon,2,1
alizé,2,14
alizéa,2,4
alizée,2,1753
aliénor,2,263
aliénore,2,1
aljia,2,1
alkaly,1,1
alkan,1,1
